챔피언	레벨	공격력	공격속도	체력	마나	체력재생	마나재생	방어력	마법저항	이동속도	사거리	인기도
헤카림	5	74.2	0.72	979.6	475.2	12.26	9.91	42.72	37.1	345	175	7.5
가렌	6	80.4	0.698	1037.53	0	10.34	0	42.54	38.35	340	175	7.24
갈리오	6	78.8	0.669	1002.8	604	12.46	10	44.38	38.35	335	125	6.71
갱플랭크	6	74	0.723	990	482.2	9.26	11.18	42.54	38.35	345	125	6.65
그라가스	6	78.9	0.704	1028.52	635	12.93	10	44.05	38.35	330	125	7.1
그레이브즈	6	72.9	0.698	971.12	522.2	10.18	11.43	41.38	30	345	425	7.7
나르	6	63	0.638	865	100	5	0	35.5	30	325	150	7.07
나미	6	66.7	0.71	859.32	592.24	8.17	13.5	39.72	30	335	550	7.86
나서스	6	76.7	0.727	1011.2	535.6	13.51	9.94	42.38	38.35	350	125	7.21
노틸러스	6	74	0.637	1006.48	569	11.12	12.13	45.21	38.35	325	175	7.15
녹턴	6	74.7	0.74	1007.8	448.8	12.01	9.01	44.38	38.35	345	125	7.59
누누	6	74.1	0.681	1078.28	493.56	12.39	9.94	43.88	38.35	350	125	6.88
니달리	6	65.4	0.72	991.2	520.6	9.01	10	40.38	30	335	525	7.56
다리우스	6	80.9	0.65	1082.24	450.5	14.6	8.34	49.88	38.35	340	175	7.66
다이애나	6	68	0.697	1039.2	497.2	11.68	10	44.05	38.35	345	150	7.73
드레이븐	6	70.4	0.75	967.76	555.56	9.68	11.29	42.04	30	330	550	7.46
라이즈	6	70	0.678	988.48	652.4	8.02	10	41.05	30	340	550	7.64
람머스	6	73.4	0.681	994.48	475.44	10.67	10.34	52.88	38.35	335	125	7.46
럭스	6	70	0.659	872.72	619	8.17	10	38.72	30	330	550	7.71
럼블	6	77	0.692	984.4	100	11.01	0	43.38	38.35	345	125	7.47
레넥톤	6	73.8	0.735	1007.16	100	11.71	0	44.58	38.35	345	125	7.61
레오나	6	75	0.698	1011.16	502.2	12.68	10	45.21	38.35	335	125	7.8
렉사이	6	72.4	0.675	1061.2	100	10.59	0	47.05	38.35	335	175	7.66
렝가	6	75	0.746	1036.2	5	6.27	0	43.38	38.35	345	125	7.76
루시안	6	69.5	0.722	954.4	538.88	9.44	11.68	39.04	30	335	500	7.55
룰루	6	59.4	0.68	922.76	567.4	9.01	15	37.72	30	325	550	7.77
르블랑	6	72.4	0.66	891	584	10.17	10	39.38	30	335	525	7.46
리븐	6	71	0.713	988.48	0	5.84	0	40.38	38.35	345	125	7.91
리산드라	6	64	0.659	926.12	554	9.67	7.67	38.72	30	325	550	7.42
리신	6	77.2	0.729	995.8	200	10.93	50	42.72	38.35	350	125	7.71
마스터이	6	75	0.733	1058.56	460.56	10.84	9.51	39.04	38.35	355	125	6.25
마오카이	6	80	0.753	1022.2	592.28	12.93	9.46	48.72	30	335	125	7.27
말자하	6	69.7	0.659	914.4	550.6	8.17	10	39.38	30	340	550	7.69
말파아트	6	78.8	0.725	1024.2	482.2	11.12	10.07	47.05	38.35	335	125	7.67
모데카이저	6	86	0.777	925	120	6.12	0	38.75	38.35	325	175	7.38
모르가나	6	73	0.663	977.48	640.8	8.71	10	44.38	30	335	450	7.7
문도	6	76.3	0.695	1027.52	0	11.51	0	44.38	38.35	345	125	7.46
미스포츈	6	51	0.735	955	500.84	9.44	11.29	39.04	30	325	550	7.56
바드	6	61	0.675	1000	600	8.15	8.25	41	30	330	500	6.1
바루스	6	66.7	0.728	947.76	525	8.17	11.34	40.21	30	330	575	7.68
바이	6	73.4	0.707	1007.8	520.6	13.51	11.34	43.38	38.35	345	125	7.54
베이가	6	63.8	0.681	902.76	652.4	8.17	10	41.3	30	340	525	6.75
베인	6	65.2	0.763	913.44	406.8	8.17	8.97	36.01	30	330	550	7.29
벨코즈	6	70.6	0.659	887.68	585.6	8.17	10	39.38	30	340	525	7.67
볼리베어	6	76	0.698	1014.48	420.4	11.34	11.34	43.88	38.35	345	125	7.5
브라움	6	71.4	0.702	1011.16	535.6	13.18	10	49.22	38.35	335	125	7.66
브랜드	6	72	0.659	887.68	585.6	8.17	11.01	39.38	30	340	550	7.04
블라디미르	6	63	0.711	967.8	0	10.01	0	39.38	30	335	450	7.61
블리츠크랭크	6	79	0.653	1057.6	467.2	12.26	12.5	44.38	38.35	325	125	7.47
빅토르	6	67	0.678	906.04	574	11.09	10	42.72	30	335	525	7.14
뽀삐	6	78.8	0.723	964.08	385.4	11.12	9.41	48.72	30	345	125	6.26
사이온	6	79.7	0.666	907.64	535.6	14.18	11.01	38.04	38.35	345	175	6.65
샤코	6	75.1	0.777	1002.12	482.2	11.12	9.41	42.38	38.35	350	125	7.49
세주아니	6	74	0.709	1075	600	12.93	9.46	44.54	38.35	340	125	7.25
소나	6	65	0.703	867.36	565.6	8.17	13.5	37.04	30	325	550	8.01
소라카	6	65	0.679	919.04	650.8	5	11	42.38	30	325	550	7.7
쉔	6	77	0.74	995.8	200	11.12	50	45.72	30	335	125	7.71
쉬바나	6	77.7	0.703	1069.6	100	12.59	0	44.38	38.35	350	125	7.69
스웨인	6	67	0.678	906.04	609	11.09	10	42.72	30	335	500	7.76
스카너	6	82.2	0.678	1081.28	472.2	13.18	9.46	48.38	38.35	345	125	6.92
시비르	6	69.5	0.665	925.76	534	7.92	12.51	38.46	30	335	500	7.52
신드라	6	68.4	0.659	901.04	684	9.51	10	41.71	30	330	550	7.17
신지드	6	79.2	0.657	952.76	515.6	10.77	10.27	45.38	30	345	125	7.41
신짜오	6	74	0.745	1026.16	448.8	11.68	9.51	43.38	38.35	345	175	7.27
쓰레쉬	6	58.7	0.626	1025.52	493.92	9.67	10	16	30	335	450	7.95
아리	6	68	0.719	914.4	584	9.51	10	38.38	30	330	550	8.05
아무무	6	72.4	0.694	1033.12	487.2	13.13	10.01	41.54	38.35	335	125	7.72
아지르	6	66	0.636	924.4	560.56	9.67	10	34.04	30	325	525	6.27
아칼리	6	74.4	0.78	1012.8	200	11.59	50	43.88	38.35	350	125	7.57
아트록스	6	76.4	0.729	962.8	330.6	9.09	0	43.38	38.35	345	150	6.78
알리스타	6	69.1	0.678	1143.36	468.84	12.93	12.5	41.88	38.35	330	125	7.68
애니	6	63.5	0.61	891.68	584	8.17	10	39.22	30	335	625	7.66
애니비아	6	67.4	0.667	817.6	646.04	8.32	10	41.22	30	325	600	7.66
애쉬	6	67.8	0.746	922.72	440	8.17	13.5	38.21	30	325	600	7.42
앨리스	6	65.5	0.669	929.4	574	8.71	10	38.88	30	330	550	7.69
야스오	6	71.4	0.75	927.76	60	11.01	0	41.71	30	345	175	7.01
에코	6	74	0.708	980	530	13.5	13	42	38.25	340	125	7.57
오공	6	75.9	0.737	1002.8	455.84	9.44	11.29	42.38	38.35	345	175	7.15
오리아나	6	53.4	0.75	912.72	584	9.62	10	32.04	30	325	525	7.7
요릭	6	75.1	0.7	988.8	468.8	11.68	9.01	43.05	38.35	345	125	6.87
우디르	6	74.3	0.728	1088.32	420.4	12.46	9.76	45.47	38.35	345	125	5.31
우르곳	6	70	0.719	1031.52	587.4	9.51	11.84	41.04	30	335	425	6.22
울라프	6	77.5	0.769	1062.24	525.6	13.01	10.34	41.04	38.35	350	125	7.43
워윅	6	79.3	0.757	1082.64	390.4	12.39	11.11	43.38	38.35	345	125	7.43
이렐리아	6	78	0.75	1057.2	498.8	11.84	14.75	44.05	38.35	345	125	7.51
이블린	6	71.4	0.759	981.2	525.6	12.57	11.11	45.5	38.35	340	125	7.28
이즈리얼	6	67.7	0.695	884.4	570.6	9.17	11.34	39.38	30	325	550	7.96
일라오이	6	85	0.628	1060.6	500	13.5	11.25	45	38.35	340	125	7.88
자르반4세	6	72.7	0.724	1021.2	502.2	11.68	9.01	47	38.35	340	175	7.7
자이라	6	69.4	0.678	849.32	584	8.19	12.5	35.04	30	325	575	7.62
잔나	6	66.7	0.69	877.04	729.52	8.17	11	38.38	30	335	475	7.6
재드	6	71.7	0.772	979.4	200	10.34	50	44.38	38.35	345	125	7.94
잭스	6	78.8	0.725	1017.8	498.8	11.12	11.08	42.04	38.35	350	125	7.7
쟈크	6	76.5	0.679	1089.6	0	10.67	0	41.38	38.35	335	175	7.72
제라스	6	69.7	0.664	914.4	586.96	8.17	10	39.38	30	340	525	7
제이스	6	67.9	0.729	1021.2	542.2	11.34	10	39.88	30	335	125	7.67
직스	6	69.7	0.701	924.4	619	9.26	10	38.04	30	325	550	7.68
질리언	6	66.6	0.675	884.28	660.8	7.94	12.5	38.13	30	335	550	7.41
징크스	6	70.5	0.65	927.76	470.6	8.34	11.68	40.38	30	325	525	7.73
초가스	6	82.2	0.661	974.4	472.2	13.18	9.46	46.38	38.35	345	125	7.5
카르마	6	70	0.683	937.44	624	8.37	12.5	39.38	30	335	525	6.61
카사딘	6	78.4	0.735	954.04	732.6	10.29	10	39.38	30	340	150	7.66
카서스	6	61.9	0.678	891	677.48	9.17	10	38.38	30	335	450	7.69
카시오페이아	6	68.4	0.69	881	670.8	8.19	12.11	42.22	30	335	550	6.41
카직스	6	70.7	0.737	997.8	527.2	11.26	10.09	42	38.35	350	125	7.63
카타리나	6	74	0.73	925	0	7.25	0	44.38	38.35	345	125	7.71
칼리스타	6	77.5	0.732	932.76	406.8	8.75	8.3	36.51	30	325	550	7.16
케넨	6	67	0.784	930.72	200	8.84	50	43.05	30	335	550	7.63
케이틀린	6	64.6	0.725	924.4	488.8	8.42	10.17	40.38	30	325	650	7.72
케일	6	70	0.694	1039.24	522.2	12.01	12.5	44.38	30	335	125	7.55
코그모	6	66.5	0.735	927	548.88	8.67	12.18	37.38	30	325	500	7.46
코르키	6	68.5	0.683	922.76	520.16	8.17	10.17	40.88	30	325	550	7.17
퀸	6	68.5	0.751	957.8	443.8	8.17	8.97	40.88	30	335	525	7.06
킨드레드	6	62.5	0.688	965	475	9.75	16.5	43.25	30	325	500	7.78
타릭	6	75.4	0.676	1069.2	629.08	10.44	12.5	44.38	38.35	340	125	6.92
탈론	6	70.7	0.74	1007.8	562.2	12.26	10.09	44.38	38.35	350	125	7.68
탐켄치	6	72	0.688	1085	525	9.25	13	42	38.35	335	175	7.26
트런들	6	75	0.75	1096.28	506.6	13.68	10.51	41.04	38.35	350	175	6.6
트리스타나	6	66.5	0.695	952.76	406.76	9.44	9.46	37	30	325	585	7.59
트린다미어	6	77.4	0.719	1115.64	100	13.01	0	39.61	38.35	345	125	7.68
트위스티드페이트	6	66.5	0.735	931.76	455.84	8.51	10	36.29	30	330	525	7.72
트위치	6	66.5	0.771	930.08	487.2	9.01	9.51	38.04	30	330	550	6.98
티모	6	69.1	0.78	925.76	467.2	8.99	9.46	43.05	30	330	500	6.19
판테온	6	70.1	0.72	1014.16	472.12	11.09	9.61	47.15	38.35	355	150	7.7
피들스틱	6	61.5	0.678	924.4	680.12	8.61	10	38.38	30	335	480	7.44
피오라	6	76.5	0.758	975	500	11	11.5	41.5	38.35	345	150	7.16
피즈	6	73	0.74	988.48	502.2	11.68	10	39.41	38.35	335	175	7.55
하이머딩거	6	69	0.659	851	507.2	19.76	10	34.04	30	340	550	6.33
헤카림	6	77.4	0.737	1074.6	512.2	13.01	10.51	46.72	38.35	345	175	7.5
가렌	7	84.9	0.716	1121.78	0	10.84	0	45.54	39.6	340	175	7.24
갈리오	7	82.2	0.676	1087.8	651	13.21	10.8	47.88	39.6	335	125	6.71
갱플랭크	7	77	0.741	1072	522.2	10.01	11.88	45.84	39.6	345	125	6.65
그라가스	7	82.4	0.718	1117.52	682	13.78	10.8	47.65	39.6	330	125	7.1
그레이브즈	7	75.3	0.716	1055.12	562.2	10.88	12.13	44.78	30	345	425	7.7
나르	7	66	0.641	930	100	5.5	0	38	30	325	150	7.07
나미	7	69.8	0.727	933.32	635.24	8.72	13.9	43.72	30	335	550	7.86
나서스	7	80.2	0.749	1101.2	577.6	14.41	10.44	45.88	39.6	350	125	7.21
노틸러스	7	77.3	0.643	1092.48	616	11.67	12.83	48.96	39.6	325	175	7.15
녹턴	7	77.8	0.758	1092.8	483.8	12.76	9.46	47.88	39.6	345	125	7.59
누누	7	77.6	0.695	1174.28	535.56	13.19	10.44	47.38	39.6	350	125	6.88
니달리	7	68.9	0.741	1081.2	565.6	9.61	10.8	43.88	30	335	525	7.56
다리우스	7	85.9	0.656	1182.24	488	15.55	8.69	53.88	39.6	340	175	7.66
다이애나	7	71	0.715	1129.2	537.2	12.53	10.8	47.65	39.6	345	150	7.73
드레이븐	7	73.3	0.767	1049.76	594.56	10.38	11.94	45.34	30	330	550	7.46
라이즈	7	73	0.691	1074.48	704.4	8.57	10.8	44.95	30	340	550	7.64
람머스	7	76.9	0.694	1080.48	508.44	11.22	10.84	57.18	39.6	335	125	7.46
럭스	7	73.3	0.668	951.72	666	8.72	10.8	42.72	30	330	550	7.71
럼블	7	80.2	0.704	1064.4	100	11.61	0	46.88	39.6	345	125	7.47
레넥톤	7	76.9	0.753	1094.16	100	12.46	0	48.38	39.6	345	125	7.61
레오나	7	78	0.716	1098.16	542.2	13.53	10.8	48.81	39.6	335	125	7.8
렉사이	7	75.7	0.688	1151.2	100	11.24	0	50.8	39.6	335	175	7.66
렝가	7	78	0.765	1126.2	5	6.67	0	46.88	39.6	345	125	7.76
루시안	7	71.9	0.743	1034.4	576.88	10.09	12.38	42.04	30	335	500	7.55
룰루	7	62	0.694	996.76	622.4	9.61	15.8	41.42	30	325	550	7.77
르블랑	7	75.9	0.669	966	634	10.72	10.8	42.88	30	335	525	7.46
리븐	7	74	0.734	1074.48	0	6.34	0	43.58	39.6	345	125	7.91
리산드라	7	66.7	0.668	1010.12	604	10.22	8.07	42.42	30	325	550	7.42
리신	7	80.4	0.749	1080.8	200	11.63	50	46.42	39.6	350	125	7.71
마스터이	7	78	0.747	1150.56	502.56	11.49	9.96	42.04	39.6	355	125	6.25
마오카이	7	83.3	0.768	1112.2	635.28	13.78	9.91	52.72	30	335	125	7.27
말자하	7	72.7	0.668	994.4	595.6	8.72	10.8	42.88	30	340	550	7.69
말파아트	7	82.2	0.746	1114.2	522.2	11.67	10.62	50.8	39.6	335	125	7.67
모데카이저	7	91	0.798	1005	120	6.67	0	42.5	39.6	325	175	7.38
모르가나	7	76.5	0.673	1063.48	700.8	9.31	10.8	48.18	30	335	450	7.7
문도	7	79.3	0.713	1116.52	0	12.26	0	47.88	39.6	345	125	7.46
미스포츈	7	52	0.754	1040	535.84	10.09	11.94	42.04	30	325	550	7.56
바드	7	64	0.688	1093	650	8.7	8.7	45	30	330	500	6.1
바루스	7	69.1	0.745	1029.76	558	8.72	12.14	43.61	30	330	575	7.68
바이	7	76.9	0.723	1092.8	565.6	14.41	11.99	46.88	39.6	345	125	7.54
베이가	7	66.5	0.695	984.76	704.4	8.72	10.8	45.05	30	340	525	6.75
베인	7	66.8	0.79	996.44	441.8	8.72	9.37	39.41	30	330	550	7.29
벨코즈	7	73.8	0.668	963.68	627.6	8.72	10.8	42.88	30	340	525	7.67
볼리베어	7	79.3	0.716	1100.48	450.4	11.99	11.99	47.38	39.6	345	125	7.5
브라움	7	74.6	0.716	1098.16	580.6	14.18	10.8	53.72	39.6	335	125	7.66
브랜드	7	75	0.668	963.68	627.6	8.72	11.61	42.88	30	340	550	7.04
블라디미르	7	66	0.724	1052.8	0	10.61	0	42.88	30	335	450	7.61
블리츠크랭크	7	82.5	0.66	1152.6	507.2	13.01	13.3	48.38	39.6	325	125	7.47
빅토르	7	70	0.691	984.04	624	11.74	10.8	46.72	30	335	525	7.14
뽀삐	7	82.2	0.745	1045.08	415.4	11.67	9.86	52.72	30	345	125	6.26
사이온	7	83.7	0.676	980.64	577.6	14.98	11.61	41.04	39.6	345	175	6.65
샤코	7	78.6	0.798	1086.12	519.2	11.67	9.86	45.88	39.6	350	125	7.49
세주아니	7	77.3	0.719	1170	640	13.78	9.91	47.54	39.6	340	125	7.25
소나	7	68	0.718	944.36	610.6	8.72	13.9	40.34	30	325	550	8.01
소라카	7	68	0.692	997.04	710.8	5.5	11.4	46.18	30	325	550	7.7
쉔	7	80.4	0.762	1080.8	200	11.67	50	49.72	30	335	125	7.71
쉬바나	7	81.1	0.714	1164.6	100	13.39	0	47.73	39.6	350	125	7.69
스웨인	7	70	0.691	984.04	656	11.74	10.8	46.72	30	335	500	7.76
스카너	7	86.4	0.691	1177.28	512.2	14.03	9.91	52.18	39.6	345	125	6.92
시비르	7	71.9	0.675	1007.76	584	8.47	13.41	41.71	30	335	500	7.52
신드라	7	71.3	0.671	979.04	744	10.11	10.8	45.11	30	330	550	7.17
신지드	7	82.6	0.668	1034.76	560.6	11.32	10.82	48.88	30	345	125	7.41
신짜오	7	77.3	0.763	1113.16	483.8	12.38	9.96	46.88	39.6	345	175	7.27
쓰레쉬	7	60.9	0.626	1118.52	537.92	10.22	10.8	16	30	335	450	7.95
아리	7	71	0.731	994.4	634	10.11	10.8	41.88	30	330	550	8.05
아무무	7	76.2	0.708	1117.12	527.2	13.98	10.53	45.14	39.6	335	125	7.72
아지르	7	68.8	0.645	1004.4	602.56	10.22	10.8	37.04	30	325	525	6.27
아칼리	7	77.6	0.802	1097.8	200	12.24	50	47.38	39.6	350	125	7.57
아트록스	7	79.6	0.749	1047.8	375.6	9.59	0	47.18	39.6	345	150	6.78
알리스타	7	72.7	0.692	1249.36	506.84	13.78	13.3	45.38	39.6	330	125	7.68
애니	7	66.2	0.618	967.68	634	8.72	10.8	43.22	30	335	625	7.66
애니비아	7	70.6	0.678	887.6	696.04	8.87	10.8	45.22	30	325	600	7.66
애쉬	7	70.1	0.768	1001.72	472	8.72	13.9	41.61	30	325	600	7.42
앨리스	7	68.5	0.68	1009.4	624	9.31	10.8	42.23	30	330	550	7.69
야스오	7	74.6	0.773	1009.76	60	11.91	0	45.11	30	345	175	7.01
에코	7	77	0.728	1060	580	14.4	13.8	45	39.5	340	125	7.57
오공	7	79.1	0.757	1087.8	493.84	10.09	11.94	45.88	39.6	345	175	7.15
오리아나	7	56	0.773	991.72	634	10.17	10.8	35.04	30	325	525	7.7
요릭	7	78.6	0.719	1073.8	503.8	12.38	9.46	46.65	39.6	345	125	6.87
우디르	7	77.5	0.746	1187.32	450.4	13.21	10.21	49.47	39.6	345	125	5.31
우르곳	7	73.6	0.737	1120.52	642.4	10.11	12.49	44.34	30	335	425	6.22
울라프	7	81	0.788	1155.24	567.6	13.91	10.92	44.04	39.6	350	125	7.43
워윅	7	82.7	0.777	1180.64	420.4	13.19	11.71	46.88	39.6	345	125	7.43
이렐리아	7	81.3	0.771	1147.2	530.8	12.49	15.4	47.8	39.6	345	125	7.51
이블린	7	74.9	0.784	1071.2	567.6	13.12	11.71	49.3	39.6	340	125	7.28
이즈리얼	7	70.1	0.713	964.4	612.6	9.72	11.99	42.88	30	325	550	7.96
일라오이	7	90	0.642	1155.6	540	14.3	12	48.8	39.6	340	125	7.88
자르반4세	7	76.1	0.74	1111.2	542.2	12.38	9.46	50.6	39.6	340	175	7.7
자이라	7	72.6	0.691	923.32	634	8.69	13.3	38.04	30	325	575	7.62
잔나	7	69.7	0.707	955.04	793.52	8.72	11.4	42.18	30	335	475	7.6
재드	7	75.1	0.793	1059.4	200	10.99	50	47.88	39.6	345	125	7.94
잭스	7	82.2	0.746	1102.8	530.8	11.67	11.78	45.04	39.6	350	125	7.7
쟈크	7	79.9	0.689	1184.6	0	11.22	0	44.88	39.6	335	175	7.72
제라스	7	72.7	0.673	994.4	630.96	8.72	10.8	42.88	30	340	525	7
제이스	7	71.4	0.747	1111.2	579.2	12.14	10.8	43.38	30	335	125	7.67
직스	7	72.8	0.712	1004.4	666	9.86	10.8	41.34	30	325	550	7.68
질리언	7	69.6	0.688	961.28	720.8	8.44	13.3	41.93	30	335	550	7.41
징크스	7	72.9	0.656	1009.76	515.6	8.84	12.68	43.88	30	325	525	7.73
초가스	7	86.4	0.67	1054.4	512.2	14.03	9.91	49.88	39.6	345	125	7.5
카르마	7	73.3	0.697	1020.44	674	8.92	13.3	43.18	30	335	525	6.61
카사딘	7	82.3	0.758	1032.04	799.6	10.79	10.8	42.58	30	340	150	7.66
카서스	7	65.2	0.691	966	738.48	9.72	10.8	41.88	30	335	450	7.69
카시오페이아	7	71.6	0.701	956	730.8	8.69	12.86	46.22	30	335	550	6.41
카직스	7	73.8	0.755	1082.8	567.2	12.01	10.59	45	39.6	350	125	7.63
카타리나	7	77.2	0.748	1008	0	7.8	0	47.88	39.6	345	125	7.71
칼리스타	7	80.4	0.75	1015.76	441.8	9.3	8.7	40.01	30	325	550	7.16
케넨	7	70.3	0.807	1009.72	200	9.49	50	46.8	30	335	550	7.63
케이틀린	7	66.7	0.75	1004.4	523.8	8.97	10.72	43.88	30	325	650	7.72
케일	7	72.8	0.708	1132.24	562.2	12.76	13.3	47.88	30	335	125	7.55
코그모	7	68.9	0.753	1009	588.88	9.22	12.88	40.88	30	325	500	7.46
코르키	7	71	0.697	1004.76	554.16	8.72	10.72	44.38	30	325	550	7.17
퀸	7	70.9	0.772	1042.8	478.8	8.72	9.37	44.38	30	335	525	7.06
킨드레드	7	64.1	0.703	1050	510	10.3	18.5	46.5	30	325	500	7.78
타릭	7	78.9	0.688	1159.2	685.08	10.94	13.3	48.08	39.6	340	125	6.92
탈론	7	73.8	0.758	1092.8	599.2	13.01	10.59	47.88	39.6	350	125	7.68
탐켄치	7	75.2	0.703	1180	565	9.8	14	45	39.6	335	175	7.26
트런들	7	78	0.769	1192.28	551.6	14.53	11.11	43.74	39.6	350	175	6.6
트리스타나	7	69.5	0.705	1034.76	438.76	10.09	9.91	40	30	325	592	7.59
트린다미어	7	80.6	0.737	1213.64	100	13.91	0	42.71	39.6	345	125	7.68
트위스티드페이트	7	69.8	0.756	1013.76	493.84	9.11	10.8	39.44	30	330	525	7.72
트위치	7	68.9	0.794	1011.08	527.2	9.61	9.96	41.04	30	330	550	6.98
티모	7	71.5	0.803	1007.76	507.2	9.64	9.91	46.8	30	330	500	6.19
판테온	7	73	0.739	1101.16	503.12	11.74	10.06	51.05	39.6	355	150	7.7
피들스틱	7	64.1	0.691	1004.4	736.12	9.21	10.8	41.88	30	335	480	7.44
피오라	7	79.8	0.78	1060	540	11.55	12.2	45	39.6	345	150	7.16
피즈	7	76	0.76	1074.48	539.2	12.38	10.8	42.81	39.6	335	175	7.55
하이머딩거	7	71.7	0.668	926	547.2	21.51	10.8	37.04	30	340	550	6.33
헤카림	7	80.6	0.754	1169.6	549.2	13.76	11.11	50.72	39.6	345	175	7.5
가렌	8	89.4	0.734	1206.03	0	11.34	0	48.54	40.85	340	175	7.24
갈리오	8	85.6	0.684	1172.8	698	13.96	11.6	51.38	40.85	335	125	6.71
갱플랭크	8	80	0.758	1154	562.2	10.76	12.58	49.14	40.85	345	125	6.65
그라가스	8	85.9	0.731	1206.52	729	14.63	11.6	51.25	40.85	330	125	7.1
그레이브즈	8	77.7	0.734	1139.12	602.2	11.58	12.83	48.18	30	345	425	7.7
나르	8	69	0.644	995	100	6	0	40.5	30	325	150	7.07
나미	8	72.9	0.743	1007.32	678.24	9.27	14.3	47.72	30	335	550	7.86
나서스	8	83.7	0.771	1191.2	619.6	15.31	10.94	49.38	40.85	350	125	7.21
노틸러스	8	80.6	0.649	1178.48	663	12.22	13.53	52.71	40.85	325	175	7.15
녹턴	8	80.9	0.776	1177.8	518.8	13.51	9.91	51.38	40.85	345	125	7.59
누누	8	81	0.709	1270.28	577.56	13.99	10.94	50.88	40.85	350	125	6.88
니달리	8	72.4	0.761	1171.2	610.6	10.21	11.6	47.38	30	335	525	7.56
다리우스	8	90.9	0.663	1282.24	525.5	16.5	9.04	57.88	40.85	340	175	7.66
다이애나	8	74	0.733	1219.2	577.2	13.38	11.6	51.25	40.85	345	150	7.73
드레이븐	8	76.2	0.785	1131.76	633.56	11.08	12.59	48.64	30	330	550	7.46
라이즈	8	76	0.704	1160.48	756.4	9.12	11.6	48.85	30	340	550	7.64
람머스	8	80.4	0.708	1166.48	541.44	11.77	11.34	61.48	40.85	335	125	7.46
럭스	8	76.6	0.676	1030.72	713	9.27	11.6	46.72	30	330	550	7.71
럼블	8	83.4	0.715	1144.4	100	12.21	0	50.38	40.85	345	125	7.47
레넥톤	8	80	0.771	1181.16	100	13.21	0	52.18	40.85	345	125	7.61
레오나	8	81	0.734	1185.16	582.2	14.38	11.6	52.41	40.85	335	125	7.8
렉사이	8	79.1	0.7	1241.2	100	11.89	0	54.55	40.85	335	175	7.66
렝가	8	81	0.785	1216.2	5	7.07	0	50.38	40.85	345	125	7.76
루시안	8	74.3	0.764	1114.4	614.88	10.74	13.08	45.04	30	335	500	7.55
룰루	8	64.6	0.708	1070.76	677.4	10.21	16.6	45.12	30	325	550	7.77
르블랑	8	79.4	0.678	1041	684	11.27	11.6	46.38	30	335	525	7.46
리븐	8	77	0.756	1160.48	0	6.84	0	46.78	40.85	345	125	7.91
리산드라	8	69.4	0.676	1094.12	654	10.77	8.47	46.12	30	325	550	7.42
리신	8	83.6	0.768	1165.8	200	12.33	50	50.12	40.85	350	125	7.71
마스터이	8	81	0.76	1242.56	544.56	12.14	10.41	45.04	40.85	355	125	6.25
마오카이	8	86.6	0.783	1202.2	678.28	14.63	10.36	56.72	30	335	125	7.27
말자하	8	75.7	0.676	1074.4	640.6	9.27	11.6	46.38	30	340	550	7.69
말파아트	8	85.6	0.768	1204.2	562.2	12.22	11.17	54.55	40.85	335	125	7.67
모데카이저	8	96	0.819	1085	120	7.22	0	46.25	40.85	325	175	7.38
모르가나	8	80	0.682	1149.48	760.8	9.91	11.6	51.98	30	335	450	7.7
문도	8	82.3	0.73	1205.52	0	13.01	0	51.38	40.85	345	125	7.46
미스포츈	8	53	0.774	1125	570.84	10.74	12.59	45.04	30	325	550	7.56
바드	8	67	0.7	1186	700	9.25	9.15	49	30	330	500	6.1
바루스	8	71.5	0.763	1111.76	591	9.27	12.94	47.01	30	330	575	7.68
바이	8	80.4	0.739	1177.8	610.6	15.31	12.64	50.38	40.85	345	125	7.54
베이가	8	69.1	0.709	1066.76	756.4	9.27	11.6	48.8	30	340	525	6.75
베인	8	68.5	0.816	1079.44	476.8	9.27	9.77	42.81	30	330	550	7.29
벨코즈	8	76.9	0.676	1039.68	669.6	9.27	11.6	46.38	30	340	525	7.67
볼리베어	8	82.6	0.734	1186.48	480.4	12.64	12.64	50.88	40.85	345	125	7.5
브라움	8	77.8	0.731	1185.16	625.6	15.18	11.6	58.22	40.85	335	125	7.66
브랜드	8	78	0.676	1039.68	669.6	9.27	12.21	46.38	30	340	550	7.04
블라디미르	8	69	0.737	1137.8	0	11.21	0	46.38	30	335	450	7.61
블리츠크랭크	8	86	0.667	1247.6	547.2	13.76	14.1	52.38	40.85	325	125	7.47
빅토르	8	73	0.704	1062.04	674	12.39	11.6	50.72	30	335	525	7.14
뽀삐	8	85.6	0.766	1126.08	445.4	12.22	10.31	56.72	30	345	125	6.26
사이온	8	87.7	0.686	1053.64	619.6	15.78	12.21	44.04	40.85	345	175	6.65
샤코	8	82.1	0.819	1170.12	556.2	12.22	10.31	49.38	40.85	350	125	7.49
세주아니	8	80.6	0.728	1265	680	14.63	10.36	50.54	40.85	340	125	7.25
소나	8	71	0.733	1021.36	655.6	9.27	14.3	43.64	30	325	550	8.01
소라카	8	71	0.705	1075.04	770.8	6	11.8	49.98	30	325	550	7.7
쉔	8	83.8	0.784	1165.8	200	12.22	50	53.72	30	335	125	7.71
쉬바나	8	84.5	0.725	1259.6	100	14.19	0	51.08	40.85	350	125	7.69
스웨인	8	73	0.704	1062.04	703	12.39	11.6	50.72	30	335	500	7.76
스카너	8	90.6	0.704	1273.28	552.2	14.88	10.36	55.98	40.85	345	125	6.92
시비르	8	74.3	0.685	1089.76	634	9.02	14.31	44.96	30	335	500	7.52
